#Top: Test_wrapper   Floorplan: impl_1   Part: xc7z030ffg676-2;;;;;;;;;;;;;;;;;;;;;;;;;;
#Generated by: Muhammed   on: Fri Jul 19 09:32:35 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Version: FINAL 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Pin Delay Version: VERS. 2.0 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
IO Bank;Pin Number;Site;Site Type;Min Trace Delay (ps);Max Trace Delay (ps);Avrg Trace Delay (ps);Prohibit;Interface;Signal Name;Direction;DiffPair Type;DiffPair Signal;IO Standard;Drive (mA);Slew Rate;OUTPUT_IMPEDANCE;PRE_EMPHASIS;LVDS_PRE_EMPHASIS;EQUALIZATION;Pull Type;DQS_BIAS;IN_TERM;DIFF_TERM;OFFCHIP_TERM;Board Signal;Board Voltage
502;G26;IOPAD_X1Y35;PS_DDR_DQ3_502;116.357;117.526;116.942;;DDR_40162;DDR_dq[3];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;J25;IOPAD_X1Y34;PS_DDR_DQ2_502;109.331;110.429;109.880;;DDR_40162;DDR_dq[2];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;F25;IOPAD_X1Y33;PS_DDR_DQ1_502;129.930;131.236;130.583;;DDR_40162;DDR_dq[1];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;J26;IOPAD_X1Y32;PS_DDR_DQ0_502;109.075;110.171;109.623;;DDR_40162;DDR_dq[0];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;R22;IOPAD_X1Y21;PS_DDR_BA2_502;95.469;96.428;95.949;;DDR_40162;DDR_ba[2];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;T22;IOPAD_X1Y20;PS_DDR_BA1_502;104.323;105.372;104.848;;DDR_40162;DDR_ba[1];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;U22;IOPAD_X1Y19;PS_DDR_BA0_502;112.177;113.304;112.741;;DDR_40162;DDR_ba[0];OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;W24;IOPAD_X1Y71;PS_DDR_DQS_P3_502;112.699;113.832;113.266;;DDR_40162;DDR_dqs_p[3];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;P25;IOPAD_X1Y70;PS_DDR_DQS_P2_502;105.700;106.762;106.231;;DDR_40162;DDR_dqs_p[2];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;L24;IOPAD_X1Y69;PS_DDR_DQS_P1_502;90.513;91.423;90.968;;DDR_40162;DDR_dqs_p[1];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
